QRCode,Fecha Factura,Número Factura,ASP_Proveedor,ASP_Dirección,ASP_Ciudad,ASP_Departamento,ASP_País,ASP_NIT,ACP_Cliente,ACP_Dirección,ACP_Ciudad,ACP_Departamento,ACP_País,ACP_NIT,Base Impuesto,Impuesto IVA,Vr.Total,Código,Descripción,Cantidad_Ítems,Precio_Total
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=0902b430732205ac502ed436bc5077ecd60ae2e121e6f2a708e67b678a7c6db54bb92e26b1e1cf1c0f4f19f4d63787ea,2022-05-25,FECA1073,NAVAS INVERSIONES SAS,AV 3E NO.15-10 BRR CAOBOS,Cucuta,Norte de Santander,COLOMBIA,901427439,INVERSIONES CAREME S.AS EL PUTO TACO,CLL 15 #1E-24 CAOBOS,Cucuta,Norte de Santander,COLOMBIA,901265118,,0.0,165000.00,13001,QUESO PAISA KILO,5.00,85000.0
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=0902b430732205ac502ed436bc5077ecd60ae2e121e6f2a708e67b678a7c6db54bb92e26b1e1cf1c0f4f19f4d63787ea,2022-05-25,FECA1073,NAVAS INVERSIONES SAS,AV 3E NO.15-10 BRR CAOBOS,Cucuta,Norte de Santander,COLOMBIA,901427439,INVERSIONES CAREME S.AS EL PUTO TACO,CLL 15 #1E-24 CAOBOS,Cucuta,Norte de Santander,COLOMBIA,901265118,,0.0,165000.00,13022,QUESO DOBLE CREMA 2.5 KG INSTITUCIONAL,2.00,80000.0
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=27355d6ceb452975575818e4b5bf0fd3bd14aebeb42eef248a2e5b84b4a90badc43dc3b88da2f822fd81351d08e365bf,2022-05-23,FE3721,,CALLE 57 # 54-96,Medellín,Antioquia,Colombia,901252812,,CRR 42 # 58 SUR - 105,Medellín,Antioquia,Colombia,901556660,,38319.33,240000.03,,ALAMBRE QUEMADO (I),30.00,201680.70
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=3c5eb8754da7ae1922ea6beab0dead36202a508ec512fd2e17e7476bfca6fcbafdd2e904ebf309a852d20d293885b200,2022-05-04,MP169113,RAPPI S.A.S,CL 93 19 58,"BOGOTÁ, D.C.",Bogotá,Colombia,900843898,INVERSIONES CAREME S.A.S.,CL 15  1E  24 BRR LOS CAOBOS LC 3,54001,54,Colombia,901265118,,23644.55,148089.55,,ALQUILER DE PLATAFORMA MARKETPLACE SEMANA DEL 25/04/2022 AL 30/04/2022 (EL PUTO TACO) (900035050),1,124445.00
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=965afd1451a54560c2cc65e469496358e14a4e3beb99ba41fb4d16d9d815e5772ba0586c46d723c6f205aef8fd4d98e0,2022-05-03,AY1704,AYCARDI INMOBILIARIA SAS,CALLE 15 NO 1E 130 BARRIO CAOBOS,CUCUTA,NORTE DE SANTANDER,COLOMBIA,900642559,DANIEL FERNANDO TERAN CHAMORRO,CALLE 15 # 1E-24 LOCAL # 3,CUCUTA,NORTE DE SANTANDER,COLOMBIA,13255516,,,2323640.00,,VALOR POR CANON DE ARRIENDO DEL MES DE MAYO DEL 2022 DEL LOCAL CAOBOS,1,2323640.00
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=26a37322adcfdfa97102d3fedd950586ae005b6e40a6e0faa6844c8495a4170c37772f9c48d74b7c3b3d6d6ffe282f30,2022-04-26,MD283721,DOBLAMOS SA,CRA 52 NRO 39-48,MEDELLÍN,ANTIOQUIA,COLOMBIA,890935922,SMJAZZ SAS,CRA 42 5 SUR 105 ED ATELIER LA FRANCIA APTO 701,MEDELLIN,,COLOMBIA,901556660,,783180,4905180,,BARRA COR 1/2''(No.4) 6M NTC2289 GR60,150,4122000
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e3d6157e891ad912a0d1d5ad95ee65373cc9c34f5d15e77bbf29a75a2fef0c728ca88ce144f5ce4a8f061d8631f0c241,2022-04-26,MD283743,DOBLAMOS SA,CRA 52 NRO 39-48,MEDELLÍN,ANTIOQUIA,COLOMBIA,890935922,SMJAZZ SAS,CRA 42 5 SUR 105 ED ATELIER LA FRANCIA APTO 701,MEDELLIN,,COLOMBIA,901556660,,427481,2677381,,BARRA COR 5/8''(No.5) 6M NTC2289 GR60,50,2249900
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=8c8c8abc85c9132a3ca4718613cfe070046383ccb93a287265f274c0a9becf20e7a52ddc9687bc4c8e68b0cb2e05e944,2022-04-30,FEC23255,MATERIALES EL TITAN NUMERO TRES S.A.S.,CRA 53 58 32,Medellín,Antioquia,Colombia,811018242,SMJAZZ S.A.S.,CR 42 5 SUR 105 AP 701,05001,05,,901556660,,494957.98,3230000.02,,CEMENTO GRIS ARGOS X 50 KG,100,2605042.02
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=8c8c8abc85c9132a3ca4718613cfe070046383ccb93a287265f274c0a9becf20e7a52ddc9687bc4c8e68b0cb2e05e944,2022-04-30,FEC23255,MATERIALES EL TITAN NUMERO TRES S.A.S.,CRA 53 58 32,Medellín,Antioquia,Colombia,811018242,SMJAZZ S.A.S.,CR 42 5 SUR 105 AP 701,05001,05,,901556660,,494957.98,3230000.02,,LADRILLO TARJETA,1,130000
"https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=73c7a2ce3b62d1d12393aa73ed19b591d9cdfd3e9cf0f493a4be5806865527c11513a284d8353fcea3bd2da508024ea1
        ",2025-12-01,18U113717,CAMBIOS NEW YORK MONEY SAS,av kr 15 124 30 local 1 118,"Bogotá, D.C",Bogotá D.C,Colombia,800132527,,CL  138   72A 40,"Bogotá, D.C",Bogotá D.C,Colombia,79055235,,,26811505.00,,USD-DÓLAR AMERICANO,6937,26811505
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=212cc555f1bd4cf897df705d8ef23dc374e789992c67a153a84c1c4b679648ac99c8af7c055817c99fceb2ba91634126,2022-05-03,DCAO1677,DISTRILACTEOS LTDA,CALL 16 NO 1E -64 CAOBOS,CUCUTA,N. DE STDER,COLOMBIA,800094923,INVERSIONES CAREME SAS,CLL 15 AV 1E BRR LOS CAOBOS,CUCUTA,N. DE STDER,COLOMBIA,901265118,,23151.26,174600.00,3580,CREMA AGRIA A GRANEL X 4 KL,2,121848.74
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=212cc555f1bd4cf897df705d8ef23dc374e789992c67a153a84c1c4b679648ac99c8af7c055817c99fceb2ba91634126,2022-05-03,DCAO1677,DISTRILACTEOS LTDA,CALL 16 NO 1E -64 CAOBOS,CUCUTA,N. DE STDER,COLOMBIA,800094923,INVERSIONES CAREME SAS,CLL 15 AV 1E BRR LOS CAOBOS,CUCUTA,N. DE STDER,COLOMBIA,901265118,,23151.26,174600.00,1565,QUESO PARA ASAR X 500G,2,29600.00
"https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=b57ad07e5bdc77c17950b604aba2020d3f88692aa3c2950c9eb2882be6e6e8dbfbf11bcb5b6a37c5ab93653b408f13f0
        ",2022-04-27,FE1957,COMERCIALIZADORA DE TACOS Y MADERAS,CR 56 46 68,Medellín,Antioquia,Colombia,43474514,,CR 42 5 SUR 105 ED ATELIER LA FRANCIA AP 701,Medellín,Antioquia,Colombia,901556660,,66500,416500,,LARGUERO,30,330000
"https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=b57ad07e5bdc77c17950b604aba2020d3f88692aa3c2950c9eb2882be6e6e8dbfbf11bcb5b6a37c5ab93653b408f13f0
        ",2022-04-27,FE1957,COMERCIALIZADORA DE TACOS Y MADERAS,CR 56 46 68,Medellín,Antioquia,Colombia,43474514,,CR 42 5 SUR 105 ED ATELIER LA FRANCIA AP 701,Medellín,Antioquia,Colombia,901556660,,66500,416500,,CLAVOS,5,20000
