Compañia,Desc. compañia,Auxiliar,Desc. auxiliar,Tercero,C.Costo,C.O. ,U.N.,Desc. Moneda alt.,Saldo inicial,Saldo final,Unnamed: 11,SCOA6DIG,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
3,FONDO DE INVERSION COLETIVA INTERES,111505003,(FI) PICHINCHA Cta No. 410216321,,,1,99,PESOS,"55919562,97","56494467,82",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505004,(FI) PICHINCHA Cta No. 410216369,,,1,99,PESOS,"21719686,68","21719686,68",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505008,(FI) BOGOTA Cta No.049216468            ,,,1,99,PESOS,"239338260,0","6727679,0",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505018,(FI) IRIS FINANCIERA Cta No.100607692719,,,1,99,PESOS,"2063586549,08","102766240,91",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505019,(FI) BANCOLOMBIA Cta No. 03151519278,,,1,99,PESOS,"220430990,24","224384843,31",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505020,(FI) BOGOTA Cta No.049219793,,,1,99,PESOS,"32119916,04","32119916,04",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505022,(FI) COOPCENTRAL Cta No. 419009424,,,1,99,PESOS,"170935261,0","172612873,17",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505024,(FI) BCO DAVIVIENDA Cta No. 482869977652,,,1,99,PESOS,"321001182,0","312519310,0",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505025,(FI) IRIS FINANCIERA Cta No.100173520553,,,1,99,PESOS,"14369590757,08","14944950828,32",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505026,(FI) SERFINANZA Cta No. 212001051872,,,1,99,PESOS,"8561230,11","8867340,24",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505028,(FI) BANCOLDEX Cta No. 0000046973,,,1,99,PESOS,"1867716098,5","1928603994,98",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505031,(FI) BCO DAVIVIENDA Cta No. 482800035982,,,1,99,PESOS,"132864765202,03","83849165479,97",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505035,(FI) JP MORGAN Cta No. 2600000084,,,1,99,PESOS,"100000000,0","100000000,0",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505038,(FI) COLPATRIA Cta No. 0131004990,,,1,99,PESOS,"191426776,43","191426776,43",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505040,(FI) BNP PARIBAS Cta No.0500100018800173,,,1,99,PESOS,"72596438,54","75052791,06",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505041,(FI) BCO CAJA SOCIAL Cta No.24132212302,,,1,99,PESOS,"9495324301,13","9799638795,74",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505042,(FI) BCO SANTANDER Cta 100000326        ,,,1,99,PESOS,"12144411,99","12566801,09",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505044,(FI) BCO SUDAMERIS Cta No. 91000023480,,,1,99,PESOS,"103195822907,14","30133000456,07",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505045,(FI) BANCO W Cta No. 0000100064598200003,,,1,99,PESOS,"13539374111,09","8545500755,53",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505046,(FI) BANCOOMEVA Cta No. 050302983001,,,1,99,PESOS,"39998036059,78","24343466123,33",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505047,(FI) BNP PARIBAS Cta No 0500100018800367,,,1,99,PESOS,"146065,23","151007,43",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505048,(FI) BANCO AV VILLAS Cta No. 059040204,,,1,99,PESOS,"7974529673,5","16411624590,78",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505049,(FI) BCO SERFINANZA Cta No. 212001545415,,,1,99,PESOS,"2039666919,43","3764286179,19",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505051,(FI) BANCO ITAU Cta No. 007075634,,,1,99,PESOS,"286806533,1","7841324057,41",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505055,(FI) AV VILLAS Cta No.065035206         ,,,1,99,PESOS,"42112178,78","15500703,24",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505056,(FI) BCO PICHINCHA Cta No.411285380,,,1,99,PESOS,"3550455438,02","3930558562,75",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505057,(FI) BCO COLPATRIA Cta No.0072967709,,,1,99,PESOS,"2601416500,85","15063066603,66",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505058,(FI) BCO FALABELLA Cta No.159920000166,,,1,99,PESOS,"4765777590,44","6153359456,99",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505059,(FI) BCO AGRARIO Cta No.408203020911,,,1,99,PESOS,"8877845101,89","10697751292,24",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
