Cuenta,"Tag
1","Tag
2","Tag
3","Tag
4","Tag
5","Tag
6","Tag
7","Tag
8","Tag
9","Tag
10","Tag
11","Tag
12"
111020,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
111505,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
111510,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
111595,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
122005,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
130105,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosDeuda,,NetAssetsLiabilities,,,,
130115,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosDeuda,,NetAssetsLiabilities,,,,
130120,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosDeuda,,NetAssetsLiabilities,,,,
130205,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
130210,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
130515,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
130905,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
131005,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135115,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135120,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135140,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135145,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135305,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135310,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135315,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135505,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
135530,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
136000,Assets,,Inversiones,ActivosFinancierosCorrientesValorRazonableCambiosResultadosInversiones,InversionesNegociables,NegociablesInstrumentosPatrimonio,,NetAssetsLiabilities,,,,
