"entryNumber","postingDate","lineNumber","accountMainID","accountMainDescription","srcd_mapToStructure","srcd_taxonomyPrefix","srcd_mapToConcept","srcd_cashFlowConcept","debitCreditCode","amount","debitAmount","creditAmount","Neto","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9","entryComment","enteredBy","enteredDate","sourceJournalID"
"JE-201","2024-01-01","1","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","ProceedsFromInvestmentsByOwner","D","10000","10000","0.00","10000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Investment by owner to open a lemonade stand.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-201","2024-01-01","2","000-3100-00","Capital Pagado (Paid-in Capital)","http://xbrlsite.com/mini","mini","PaidInCapital","InvestmentsByOwner","C","10000","0.00","10000","-10000.00","mini:LiabilitiesAndEquity","mini:Equity","","","","","","","mini:PaidInCapital","Investment by owner to open a lemonade stand.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-202","2024-01-02","1","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","ProceedsFromAdditionalLongtermBorrowings","D","2000","2000","0.00","2000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Long term borrowing to purchase refrigerator.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-202","2024-01-02","2","000-2300-00","Deuda a Largo Plazo (Long-term Debt)","http://xbrlsite.com/mini","mini","LongtermDebt","AdditionalLongtermBorrowings","C","2000","0.00","2000","-2000.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:NoncurrentLiabilities","","","","","","mini:LongtermDebt","Long term borrowing to purchase refrigerator.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-203","2024-01-05","1","000-1500-00","Propiedades, Planta y Equipo (PPE)","http://xbrlsite.com/mini","mini","PropertyPlantAndEquipment","CapitalAdditionsPropertyPlantAndEquipment","D","1000","1000","0.00","1000.00","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","Purchase of refrigerator  using cash from additional borrowings.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-203","2024-01-05","2","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","PaymentForCapitalAdditionsOfPropertyPlantEquipment","C","1000","0.00","1000","-1000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Purchase of refrigerator  using cash from additional borrowings.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-203","2024-01-05","1","000-1500-00","Propiedades, Planta y Equipo (PPE)","http://xbrlsite.com/mini","mini","PropertyPlantAndEquipment","CapitalAdditionsPropertyPlantAndEquipment","D","1000","1000","0.00","1000.00","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","Purchase of refrigerator using cash from additional borrowings.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-203","2024-01-05","2","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","PaymentForCapitalAdditionsOfPropertyPlantEquipment","C","1000","0.00","1000","-1000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Purchase of refrigerator using cash from additional borrowings.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-204","2024-01-10","1","000-1300-00","Inventarios (Inventories)","http://xbrlsite.com/mini","mini","Inventories","PurchasesOfInventoryForSale","D","5000","5000","0.00","5000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","Purchase of lemons to put intoinventory on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-204","2024-01-10","2","000-2150-00","Cuentas por Pagar (Accounts Payable)","http://xbrlsite.com/mini","mini","AccountsPayable","PurchasesInventoryForSaleOnAccount","C","5000","0.00","5000","-5000.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccountsPayable","Purchase of lemons to put intoinventory on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-205","2024-01-15","1","000-5100-00","Costo de Ventas (Cost of Sales)","http://xbrlsite.com/mini","mini","CostsOfSales","NetIncomeLoss","D","3000","3000","0.00","3000.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:CostsOfSales","Payment for  contractor to work the lemonade stand.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-205","2024-01-15","2","000-2150-00","Cuentas por Pagar (Accounts Payable)","http://xbrlsite.com/mini","mini","AccountsPayable","PurchasesInventoryForSaleOnAccount","C","3000","0.00","3000","-3000.00","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccountsPayable","Payment for  contractor to work the lemonade stand.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","1","000-1200-00","Cuentas por Cobrar (Receivables)","http://xbrlsite.com/mini","mini","Receivables","IncreaseInReceivablesFromSalesOnAccount","D","8000","8000","0.00","8000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Receivables","Costs related to sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","2","000-4100-00","Ingresos por Ventas (Sales)","http://xbrlsite.com/mini","mini","Sales","NetIncomeLoss","C","8000","0.00","8000","-8000.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:Sales","Costs related to sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","3","000-5100-00","Costo de Ventas (Cost of Sales)","http://xbrlsite.com/mini","mini","CostsOfSales","NetIncomeLoss","D","2000","2000","0.00","2000.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:CostsOfSales","Costs related to sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","4","000-1300-00","Inventarios (Inventories)","http://xbrlsite.com/mini","mini","Inventories","DecreaseInInventoriesFromSales","C","2000","0.00","2000","-2000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","Costs related to sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","1","000-1200-00","Cuentas por Cobrar (Receivables)","http://xbrlsite.com/mini","mini","Receivables","IncreaseInReceivablesFromSalesOnAccount","D","8000","8000","0.00","8000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Receivables","Sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","2","000-4100-00","Ingresos por Ventas (Sales)","http://xbrlsite.com/mini","mini","Sales","NetIncomeLoss","C","8000","0.00","8000","-8000.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:Sales","Sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","3","000-5100-00","Costo de Ventas (Cost of Sales)","http://xbrlsite.com/mini","mini","CostsOfSales","NetIncomeLoss","D","2000","2000","0.00","2000.00","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:CostsOfSales","Sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-206","2024-01-16","4","000-1300-00","Inventarios (Inventories)","http://xbrlsite.com/mini","mini","Inventories","DecreaseInInventoriesFromSales","C","2000","0.00","2000","-2000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","Sales on account.","Charles Hoffman, CPA","2024-01-31","gj"
"JE-207","2024-01-20","1","000-1100-00","Efectivo y Equivalentes de Efectivo","http://xbrlsite.com/mini","mini","CashAndCashEquivalents","ProceedsFromCollectionOfReceivables","D","8000","8000","0.00","8000.00","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","Collection of accounts receivable.","Charles Hoffman, CPA","2024-01-31","gj"
