"accountMainID","accountMainDescription","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9","Tag10"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:ProceedsFromInvestmentsByOwner"
"000-3100-00","Capital Pagado (Paid-in Capital)","mini:LiabilitiesAndEquity","mini:Equity","","","","","","","mini:PaidInCapital","mini:InvestmentsByOwner"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:ProceedsFromAdditionalLongtermBorrowings"
"000-2300-00","Deuda a Largo Plazo (Long-term Debt)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:NoncurrentLiabilities","","","","","","mini:LongtermDebt","mini:AdditionalLongtermBorrowings"
"000-1500-00","Propiedades, Planta y Equipo (PPE)","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","mini:CapitalAdditionsPropertyPlantAndEquipment"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:PaymentForCapitalAdditionsOfPropertyPlantEquipment"
"000-1300-00","Inventarios (Inventories)","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","mini:PurchasesOfInventoryForSale"
"000-2150-00","Cuentas por Pagar (Accounts Payable)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccountsPayable","mini:PurchasesInventoryForSaleOnAccount"
"000-5100-00","Costo de Ventas (Cost of Sales)","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:CostsOfSales","mini:NetIncomeLoss"
"000-1200-00","Cuentas por Cobrar (Receivables)","mini:Assets","","mini:CurrentAssets","","","","","","mini:Receivables","mini:IncreaseInReceivablesFromSalesOnAccount"
"000-4100-00","Ingresos por Ventas (Sales)","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:GrossProfitLoss","mini:Sales","mini:NetIncomeLoss"
"000-1300-00","Inventarios (Inventories)","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","mini:DecreaseInInventoriesFromSales"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:ProceedsFromCollectionOfReceivables"
"000-1200-00","Cuentas por Cobrar (Receivables)","mini:Assets","","mini:CurrentAssets","","","","","","mini:Receivables","mini:CollectionOfReceivables"
"000-2150-00","Cuentas por Pagar (Accounts Payable)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccountsPayable","mini:DecreaseFromPaymentAccountsPayable"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:PaymentOfAccountsPayable"
"000-2300-00","Deuda a Largo Plazo (Long-term Debt)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:NoncurrentLiabilities","","","","","","mini:LongtermDebt","mini:RepaymentLongtermBorrowings"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:PaymentForReductionOfLongtermBorrowings"
"000-1100-00","Efectivo y Equivalentes de Efectivo","mini:Assets","","mini:CurrentAssets","","","","","","mini:CashAndCashEquivalents","mini:PaymentOfInterest"
"000-2160-00","Gastos Acumulados por Pagar (Accrued Expenses)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccruedExpenses","mini:DecreaseFromPaymentOfInterest"
"000-5400-00","Gasto por Intereses (Interest Expense)","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:NonoperatingIncomeExpenses","","mini:InterestExpense","mini:NetIncomeLoss"
"000-2160-00","Gastos Acumulados por Pagar (Accrued Expenses)","mini:LiabilitiesAndEquity","mini:Liabilities","mini:CurrentLiabilities","","","","","","mini:AccruedExpenses","mini:InterestAccrued"
"000-1300-00","Inventarios (Inventories)","mini:Assets","","mini:CurrentAssets","","","","","","mini:Inventories","mini:InventoryWrittenOff"
"000-5200-00","Depreciacion y Amortizacion","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","mini:OperatingIncomeLoss","mini:OperatingExpenses","mini:DepreciationAndAmortization","mini:NetIncomeLoss"
"000-1500-00","Propiedades, Planta y Equipo (PPE)","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","mini:DecreaseFromDepreciationAndAmortization"
"000-1500-00","Propiedades, Planta y Equipo (PPE)","mini:Assets","","mini:NoncurrentAssets","","","","","","mini:PropertyPlantAndEquipment","mini:PropertyPlantAndEquipmentWrittenOff"
"000-5500-00","Ingresos/Gastos No Operacionales","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","mini:IncomeLossFromContinuingOperationsBeforeTax","","","mini:NonoperatingIncomeExpenses","mini:NetIncomeLoss"
"000-6100-00","Impuesto a la Renta","mini:LiabilitiesAndEquity","mini:Equity","","mini:RetainedEarnings","mini:NetIncomeLoss","","","","mini:IncomeTaxExpenseBenefit","mini:NetIncomeLoss"
