Compañia,"Desc, compañia",Auxiliar,Cuenta 6,"Desc, auxiliar",Saldo inicial,Saldo final,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12
3,FONDO DE INVERSION COLETIVA INTERES,111505003,111505,"(FI) PICHINCHA Cta No, 410216321","55919562,97","56339884,94",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505004,111505,"(FI) PICHINCHA Cta No, 410216369","21719686,68","21719686,68",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505008,111505,"(FI) BOGOTA Cta No,049216468",239338260,7100090,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505018,111505,"(FI) IRIS FINANCIERA Cta No,100607692719",2063586549,"103677453,7",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505019,111505,"(FI) BANCOLOMBIA Cta No, 03151519278","220430990,2","224960966,1",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505020,111505,"(FI) BOGOTA Cta No,049219793","32119916,04","32119916,04",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505022,111505,"(FI) COOPCENTRAL Cta No, 419009424",170935261,"173723200,2",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505024,111505,"(FI) BCO DAVIVIENDA Cta No, 482869977652",321001182,331225739,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505025,111505,"(FI) IRIS FINANCIERA Cta No,100173520553",14369590757,21453817060,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505026,111505,"(FI) SERFINANZA Cta No, 212001051872","8561230,11","8941860,78",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505028,111505,"(FI) BANCOLDEX Cta No, 0000046973",1867716099,1942447219,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505031,111505,"(FI) BCO DAVIVIENDA Cta No, 482800035982",132864765202,75533677971,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505035,111505,"(FI) JP MORGAN Cta No, 2600000084",100000000,100000000,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505038,111505,"(FI) COLPATRIA Cta No, 0131004990","191426776,4","191426776,4",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505040,111505,"(FI) BNP PARIBAS Cta No,0500100018800173","72596438,54","75586787,53",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505041,111505,"(FI) BCO CAJA SOCIAL Cta No,24132212302",9495324301,7373480827,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505042,111505,(FI) BCO SANTANDER Cta 100000326,"12144411,99","12651329,41",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505044,111505,"(FI) BCO SUDAMERIS Cta No, 91000023480",103195822907,55489465677,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505045,111505,"(FI) BANCO W Cta No, 0000100064598200003",13539374111,8629088765,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505046,111505,"(FI) BANCOOMEVA Cta No, 050302983001",39998036060,41562292747,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505047,111505,(FI) BNP PARIBAS Cta No 0500100018800367,"146065,23","152081,85",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505048,111505,"(FI) BANCO AV VILLAS Cta No, 059040204",7974529674,47238218446,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505049,111505,"(FI) BCO SERFINANZA Cta No, 212001545415",2039666919,4139873420,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505051,111505,"(FI) BANCO ITAU Cta No, 007075634","286806533,1",7204897923,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505055,111505,"(FI) AV VILLAS Cta No,065035206","42112178,78","11061737,49",Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505056,111505,"(FI) BCO PICHINCHA Cta No,411285380",3550455438,3013292843,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505057,111505,"(FI) BCO COLPATRIA Cta No,0072967709",2601416501,4710120950,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505058,111505,"(FI) BCO FALABELLA Cta No,159920000166",4765777590,1337529993,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505059,111505,"(FI) BCO AGRARIO Cta No,408203020911",8877845102,11080128205,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505060,111505,"(FI) BANCO CITIBANK Cta No,5060135055",7999614060,18757609420,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
3,FONDO DE INVERSION COLETIVA INTERES,111505110,111505,"(FI) BOGOTA Cta No, 049292840",4578377095,2145340342,Assets,,CashAndCashEquivalents,BalancesWithBanks,Cash,,,NetAssetsLiabilities,,,,
