EntryID,Date,JournalEntryID,SourceDocumentType,SourceDocumentID,DigitalTwinIPFS,DigitalTwinSHA256,EntityID,EntityName,PartnerID,PartnerName,AccountID,AccountName,AccountDescription,DebitCreditCode,Amount,SharesType,NominalValuePerShare,SharesQuantity,REA_Classification,ZachmanPerspective,ZachmanInterrogative
ED-001-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A001,Socio 1,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-001-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A001,Socio 1,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
ED-002-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A002,Socio 2,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-002-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A002,Socio 2,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
ED-003-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A003,Socio 3,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-003-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A003,Socio 3,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
ED-004-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A004,Socio 4,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-004-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A004,Socio 4,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
ED-005-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A005,Socio 5,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-005-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A005,Socio 5,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
ED-006-D,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A006,Socio 6,1105,Caja y Bancos,Efectivo aportado por los socios,D,250000,Ordinarias,1000,0,Event,FunctioningEnterprise,When
ED-006-C,2026-02-14,JE-001,Acta de Asamblea Momento Cero,DOC-CONST-XYZ,ipfs://bafybeigdyrzt5sfp7udm7hu76uh7y2vedxjQkDDP1mXWo6uco,2ee907edc82f2279a9a079018d0b225b1f0a46fd3938dbabd606e700fe43c5f7,Entity/ENT-XYZ,XYZ Corp,Agent/A006,Socio 6,3105,Capital Emitido,Capital Social de la Entidad,C,250000,Ordinarias,1000,250,Event,FunctioningEnterprise,When
