Compañia,Desc. compañia,Auxiliar,Desc. auxiliar,Tercero,C.Costo,C.O. ,U.N.,Desc. Moneda alt.,Saldo inicial,Saldo final,Unnamed: 11,SCOA6DIG,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9
3,FONDO DE INVERSION COLETIVA INTERES,111505010,(FI) OCCIDENTE Cta No.288810997         ,,,1,99,PESOS,"3993060661,54","17022646345,95",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505015,(FI) BCO DAVIVIENDA Cta No.005069995545,,,1,99,PESOS,"5659606870,7","3435680273,5",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505016,(FI) DAVIVIENDA Cta No.005000219997     ,,,1,99,PESOS,"873411211,8","332162930,71",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505021,(FI) BANCOLOMBIA Cta No. 03152648354,,,1,99,PESOS,"17998683,94","17998683,94",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505027,(FI) SERFINANZA Cta No. 221000021947,,,1,99,PESOS,"0,25","0,25",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505029,(FI) BCO FINANDINA Cta No. 9990023042,,,1,99,PESOS,"28148670,52","28193783,03",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505030,(FI) BCO FINANDINA Cta No. 9990023051,,,1,99,PESOS,"1605341713,88","7935944506,84",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505032,(FI) BCO BOGOTA Cta No. 049335037,,,1,99,PESOS,"14836256534,53","59854828715,04",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505033,(FI) BCO SANTANDER Cta No. 100010895,,,1,99,PESOS,"2475087260,91","5855058379,28",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505034,(FI) BCO OCCIDENTE Cta No. 219885878,,,1,99,PESOS,"9726512523,6","57824456979,52",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505036,(FI) BANCO COOPCENTRA Cta No. 419009626,,,1,99,PESOS,"2270462918,0","1541268401,0",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505037,(FI) COLPATRIA Cta No.0132160767        ,,,1,99,PESOS,"1109593671,14","1145537926,79",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505052,(FI) BANCO POPULAR Cta No. 500805563532,,,1,99,PESOS,"6678933547,36","5323387598,43",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505053,(FI) BANCOLOMBIA Cta No. 69000008134,,,1,99,PESOS,"34442084344,32","14353386842,35",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505054,(FI) ITAU HELM BANK Cta No. 007075999,,,1,99,PESOS,"3002557858,87","9932120041,09",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505070,(FI) ITAU HELM BANK Cta No.007302011,,,1,99,PESOS,"100079,24","102978,06",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505080,(FI) POPULAR Cta No.066720632           ,,,1,99,PESOS,"14772251,15","15274963,81",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505093,(FI) OCCIDENTE Cta No.288073661,,,1,99,PESOS,"1136986652,2","1185274737,14",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505094,(FI) BANCOLOMBIA Cta No.17854124973,,,1,99,PESOS,"7658079908,05","4176896700,72",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505100,(FI) GNB SUDAMERIS Cta No.90060000070,,,1,99,PESOS,"95764892,85","99203693,74",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505118,(FI) AGRARIO COL Cta No.08200102765,,,1,99,PESOS,"1799111274,62","1774602315,26",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505131,(FI) CORPBANCA Cta No.051000941,,,1,99,PESOS,"30360881,34","30360881,34",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505167,(FI) COLPATRIA Cta No.0131072201,,,1,99,PESOS,"231619036,25","230603445,99",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505177,(FI) OCCIDENTE Cta No.288049240,,,1,99,PESOS,"918246524,29","918236171,29",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505181,(FI) CITIBANK Cta No.0060135096,,,1,99,PESOS,"23957877,89","23926387,89",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505183,(FI) BCO CAJA SOCIAL Cta No. 21003873196,,,1,99,PESOS,"237012096,05","121292436,9",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505190,(FI) BANCOLOMBIA Cta No.12606106520,,,1,99,PESOS,"150391800,66","108258023,11",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505195,(FI) DAVIVIENDA Cta No.005069999380,,,1,99,PESOS,"11249973623,42","17273329862,36",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505320,(FI) BANCOLOMBIA Cta No.04882033479,,,1,99,PESOS,"16188497131,79","621813641,95",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505322,(FI) DAVIVIENDA Cta No.005069992096,,,1,99,PESOS,"9068467040,86","7740128165,59",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505324,(FI) AVVILLAS Cta No.059028852,,,1,99,PESOS,"2419105008,68","2735276501,94",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505325,(FI) SUDAMERIS Cta No.100004951,,,1,99,PESOS,"16327189,0","7086647,0",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505326,(FI) BANCOLOMBIA Cta No.03100026963,,,1,99,PESOS,"8660046211,04","5735731771,1",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505327,(FI) OCCIDENTE Cta No.288860729,,,1,99,PESOS,"204131917,02","225092601,94",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505328,(FI) BBVA Cta No. 895001808,,,1,99,PESOS,"185367883,37","185367883,37",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505329,(FI) POPULAR Cta No. 110066127499,,,1,99,PESOS,"796431494,03","858747617,71",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505395,(FI) REPUBLICA Cta No.62255468,,,1,99,PESOS,"10168950,8","10123950,8",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505471,(FI) POPULAR Cta No.066122755,,,1,99,PESOS,"133747554,85","21990886,21",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505617,(FI) CITIBANK Cta No.5060135012,,,1,99,PESOS,"5131427,8","4933721,61",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505621,(FI) BANCOOMEVA Cta No.050301555601,,,1,99,PESOS,"5421275,3","5336514,12",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505623,(FI) BANCOLOMBIA Cta No. 03141946140,,,1,99,PESOS,"2132086476,66","132205500,66",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505624,(FI) BANCOLOMBIA Cta No. 03147542506,,,1,99,PESOS,"492291,68","487671,68",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
3,FONDO DE INVERSION COLETIVA INTERES,111505003,(FI) PICHINCHA Cta No. 410216321,,,1,99,PESOS,"652924940,78","55772677,45",,111505,Activo,,Activo Corriente,Efectivo y equivales de efectivo,Bancos nacionales,,,Disponible,
